"ds","y"
"1875-02-13","19"
"1875-02-13","7"
"1875-02-20","21"
"1875-02-20","9"
"1875-02-20","13"
"1875-02-20","30"
"1875-02-20","22"
"1875-02-27","44"
"1875-02-27","11"
"1875-02-27","10"
"1875-02-27","22"
"1875-02-27","13"
"1875-03-06","10"
"1875-03-06","27"
"1875-03-06","66"
"1875-03-06","1"
"1875-03-06","31"
"1875-03-13","5"
"1875-03-13","5"
"1875-03-13","14"
"1875-03-13","30"
"1875-03-13","9"
"1875-03-20","36"
"1875-03-20","6"
"1875-03-20","18"
"1875-03-20","8"
"1875-03-20","15"
"1875-03-27","12"
"1875-03-27","17"
"1875-03-27","15"
"1875-03-27","11"
"1875-03-27","4"
"1875-04-03","6"
"1875-04-03","14"
"1875-04-03","34"
"1875-04-03","52"
"1875-04-03","11"
"1875-04-10","42"
"1875-04-10","6"
"1875-04-10","10"
"1875-04-10","6"
"1875-04-10","23"
"1875-04-17","4"
"1875-04-17","23"
"1875-04-17","6"
"1875-04-17","8"
"1875-04-17","23"
"1875-04-24","22"
"1875-04-24","19"
"1875-04-24","2"
"1875-04-24","52"
"1875-04-24","56"
"1875-05-01","2"
"1875-05-01","10"
"1875-05-01","7"
"1875-05-01","8"
"1875-05-01","26"
"1875-05-08","6"
"1875-05-08","32"
"1875-05-08","3"
"1875-05-08","8"
"1875-05-08","1"
"1875-05-15","3"
"1875-05-15","3"
"1875-05-15","58"
"1875-05-15","7"
"1875-05-15","30"
"1875-05-22","6"
"1875-05-22","18"
"1875-05-22","25"
"1875-05-22","31"
"1875-05-22","10"
"1875-05-29","15"
"1875-05-29","33"
"1875-05-29","2"
"1875-05-29","47"
"1875-05-29","20"
"1875-06-05","19"
"1875-06-05","17"
"1875-06-05","13"
"1875-06-05","21"
"1875-06-05","1"
"1875-06-12","9"
"1875-06-12","2"
"1875-06-12","1"
"1875-06-12","5"
"1875-06-12","23"
"1875-06-19","20"
"1875-06-19","2"
"1875-06-19","8"
"1875-06-19","4"
"1875-06-19","34"
"1875-06-26","20"
"1875-06-26","21"
"1875-06-26","72"
"1875-06-26","18"
"1875-06-26","47"
"1875-07-03","3"
"1875-07-03","3"
"1875-07-03","26"
"1875-07-03","28"
"1875-07-03","23"
"1875-07-10","14"
"1875-07-10","15"
"1875-07-10","34"
"1875-07-10","16"
"1875-07-10","23"
"1875-07-17","11"
"1875-07-17","4"
"1875-07-17","8"
"1875-07-17","3"
"1875-07-17","32"
"1875-07-24","10"
"1875-07-24","22"
"1875-07-24","2"
"1875-07-24","47"
"1875-07-24","14"
"1875-07-31","8"
"1875-07-31","2"
